anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2022,Septiembre,25/09/2022,22:09:28,2022,Septiembre,24/09/2022,22:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-2,UI-1SD,RESIDENCIAL ACUEDUCTO DE GUADALUPE,Acueducto De Guadalupe,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.53015099,-99.15479735,6,11,3,1320,1115
2023,Enero,20/01/2023,22:26:17,2023,Enero,20/01/2023,21:12:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-2CD,ZONA ESCOLAR,Zona Escolar,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.54064784,-99.14600797,5,3,3,1272,1193
2023,Enero,20/01/2023,17:07:46,2023,Enero,16/01/2023,22:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-3,UI-1SD,PROVIDENCIA,Providencia,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.48693755,-99.07416612,1,3,3,1350,1193
2023,Mayo,13/05/2023,13:54:22,2023,Mayo,13/05/2023,12:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,TLACAMACA,Tlacamaca,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47566595,-99.13432628,6,8,3,770,1018
2021,Julio,28/07/2021,00:00:00,2021,Julio,28/07/2021,16:00:00,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,CAPULTITLAN,Capultitlan,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47584,-99.13498,3,5,3,960,1046
2022,Mayo,17/05/2022,00:00:00,2022,Mayo,17/05/2022,10:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-3CD,SAN JUAN DE ARAGÓN I SECCIÓN,San Juan De Aragon I Seccion,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.46227,-99.09075,2,8,3,600,1018
2021,Octubre,26/10/2021,00:00:00,2021,Octubre,24/10/2021,04:50:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-2,UI-1SD,EJIDOS SAN JUAN DE ARAGON 1A SECCION,Ex Ejido San Juan De Aragon Sector 33,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.4693,-99.091,7,10,3,290,1203
2021,Noviembre,02/11/2021,00:00:00,2021,Noviembre,02/11/2021,01:00:00,ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,ARAGÓN LA VILLA,Ampliacion San Juan De Aragon,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47911,-99.10857,2,9,3,60,1199
2021,Febrero,19/02/2021,00:00:00,2021,Febrero,10/02/2021,15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-6,UI-1CD,CAMPESTRE ARAGÓN,Campestre Aragon,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.48898,-99.08096,3,4,3,900,1048
2023,Junio,11/06/2023,23:56:44,2023,Junio,11/06/2023,23:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-3CD,DEFENSORES DE LA REPÚBLICA,Defensores De La Republica,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47300552,-99.13876042,7,6,3,1395,974
2022,Julio,06/07/2022,18:52:35,2022,Julio,06/07/2022,13:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,UI-1SD,UNIDAD PROFESIONAL ADOLFO LOPEZ MATEOS,Residencial La Escalera,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.50481693,-99.1348967,3,5,3,780,1046
2022,Agosto,01/08/2022,13:01:16,2022,Julio,29/07/2022,14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,UI-1SD,GABRIEL HERNÁNDEZ,Gabriel Hernandez,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.50115151,-99.09745887,5,5,3,840,1046
2021,Septiembre,24/09/2021,00:00:00,2021,Septiembre,23/09/2021,19:45:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-4,UI-1SD,SAN JUAN DE ARAGÓN IV SECCIÓN,San Juan De Aragon,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.46058,-99.06231,4,11,3,1185,1115
2022,Julio,11/07/2022,13:22:00,2022,Julio,11/07/2022,12:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-1CD,ESTRELLA,Estrella,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47712414,-99.11914855,1,5,3,760,1046
2022,Noviembre,03/11/2022,18:23:39,2022,Noviembre,03/11/2022,11:03:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-8,UI-2CD,SAN LORENZO,Barrio San Lorenzo,IZTAPALAPA,Iztapalapa,CDMX,19.30400426,-99.06953448,4,9,4,663,2025
2022,Enero,22/01/2022,00:00:00,2022,Enero,22/01/2022,19:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-2CD,GRANJAS ESMERALDA,Granjas Esmeralda,IZTAPALAPA,Iztapalapa,CDMX,19.35665,-99.11335,6,3,4,1140,2124
2023,Septiembre,12/09/2023,10:06:41,2023,Septiembre,12/09/2023,08:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,STCMZV,UI-3CD,ERMITA ZARAGOZA,Ermita Zaragoza,IZTAPALAPA,Iztapalapa,CDMX,19.3603533,-98.99524581,2,11,4,500,2005
2023,Noviembre,10/11/2023,02:51:33,2023,Noviembre,10/11/2023,02:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-5,UI-1CD,SANTA MARTHA ACATITLA SUR,Santa Martha Acatitla Sur,IZTAPALAPA,Iztapalapa,CDMX,19.3716862,-99.02391046,5,9,4,135,2025
2022,Mayo,15/05/2022,00:00:00,2022,Mayo,13/05/2022,06:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-9,UI-4SD,DESARROLLO URBANO QUETZALCOATL,Desarrollo Urbano Quetzalcoatl,IZTAPALAPA,Iztapalapa,CDMX,19.33567,-99.03846,5,8,4,360,2005
2021,Marzo,01/03/2021,00:00:00,2021,Febrero,28/02/2021,18:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-9,UI-2SD,SANTA CRUZ MEYEHUALCO,Pueblo Sta Cruz Meyehualco,IZTAPALAPA,Iztapalapa,CDMX,19.33798,-99.04267,7,4,4,1080,1974
2023,Agosto,01/08/2023,16:29:13,2023,Julio,28/07/2023,00:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-3,UI-1SD,ERMITA,Ermita,IZTAPALAPA,Iztapalapa,CDMX,19.35953678,-99.13939991,5,5,4,20,2058
2020,Noviembre,20/11/2020,00:00:00,2020,Noviembre,20/11/2020,13:48:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN VENUSTIANO CARRANZA,VC-3,UI-1SD,ERMITA ZARAGOZA,Ermita Zaragoza,IZTAPALAPA,Iztapalapa,CDMX,19.36251,-98.99547,5,9,4,828,2025
2021,Diciembre,08/12/2021,00:00:00,2021,Diciembre,08/12/2021,11:11:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-2CD,GRANJAS ESTRELLA,Granjas Estrella,IZTAPALAPA,Iztapalapa,CDMX,19.32042,-99.0842,3,2,4,671,2015
2023,Octubre,13/10/2023,12:25:25,2023,Octubre,13/10/2023,11:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-1CD,LA POLVORILLA,Polvorilla,IZTAPALAPA,Iztapalapa,CDMX,19.32117602,-99.0468201,5,10,4,710,2144
2021,Octubre,27/10/2021,00:00:00,2021,Octubre,27/10/2021,07:50:00,ROBO A TRANSEUNTE CONDUCTOR DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-2CD,EL PARAÍSO,El Paraiso,IZTAPALAPA,Iztapalapa,CDMX,19.37297,-99.03168,3,10,4,470,2144
2023,Enero,22/01/2023,22:06:19,2023,Enero,22/01/2023,21:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-1CD,SAN JUAN JOYA,San Juan Joya,IZTAPALAPA,Iztapalapa,CDMX,19.33806344,-99.06688292,7,3,4,1270,2124
2022,Enero,29/01/2022,00:00:00,2022,Enero,29/01/2022,16:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA CENTRAL,ACI,UI-3CD,CENTRAL DE ABASTO,Dr Alfonso Ortiz Tirado,IZTAPALAPA,Iztapalapa,CDMX,19.38298,-99.07707,6,3,4,960,2124
2023,Noviembre,10/11/2023,17:47:16,2023,Noviembre,10/11/2023,16:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-2CD,CHINAMPAC DE JUÁREZ,Chinampac De Juarez,IZTAPALAPA,Iztapalapa,CDMX,19.38743677,-99.04270515,5,9,4,1015,2025
2021,Julio,19/07/2021,00:00:00,2021,Julio,19/07/2021,09:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN COYOACÁN,COY-3,UI-1SD,BARRIO TULA,Barrio Tula,IZTAPALAPA,Iztapalapa,CDMX,19.33814,-99.11058,1,5,4,555,2058
2023,Agosto,28/08/2023,13:02:53,2023,Agosto,27/08/2023,02:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-8,UI-3CD,LOMAS DE SAN LORENZO,Pueblo San Lorenzo Tezonco,IZTAPALAPA,Iztapalapa,CDMX,19.31575477,-99.04841736,7,1,4,120,2078
2021,Octubre,21/10/2021,00:00:00,2021,Octubre,21/10/2021,00:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,BJ-2,UI-1CD,ESCANDÓN I SECCIÓN,Escandon I Seccion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40691,-99.18414,4,10,5,10,893
2023,Mayo,11/05/2023,17:33:25,2023,Mayo,11/05/2023,15:58:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-5,UI-2CD,PLUTARCO ELÍAS CALLES,Plutarco Elias Calles,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.45690017,-99.17051353,4,8,5,958,842
2020,Octubre,10/10/2020,00:00:00,2020,Octubre,10/10/2020,21:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,STCMZV,UI-1CD,SAN MIGUEL CHAPULTEPEC,San Miguel Chapultepec Ii Seccion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.42028,-99.17801,6,10,5,1260,893
2023,Octubre,17/10/2023,14:08:23,2023,Octubre,17/10/2023,12:51:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,SCTPPMB,Unidad de Investigación 2 C/D,TACUBAYA,Tacubaya,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40194958,-99.18736933,2,10,5,771,893
2021,Octubre,23/10/2021,00:00:00,2021,Octubre,23/10/2021,09:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-5,UI-1CD,TACUBAYA,Tacubaya,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40055,-99.18878,6,10,5,555,893
2020,Septiembre,14/09/2020,00:00:00,2020,Septiembre,14/09/2020,08:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-2,UI-1SD,TACUBA,Tacuba,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.45733,-99.18732,1,11,5,510,895
2022,Julio,20/07/2022,11:10:44,2022,Julio,20/07/2022,10:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-5,UI-1CD,ANAHUAC,Anahuac Ii Seccion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.44013054,-99.17199835,3,5,5,610,854
2023,Marzo,23/03/2023,18:51:31,2023,Marzo,19/03/2023,17:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,UAT-MH-4,UI-1SD,DANIEL GARZA,Daniel Garza,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40589437,-99.19786803,7,7,5,1050,853
2022,Noviembre,24/11/2022,23:54:10,2022,Octubre,06/10/2022,12:30:00,ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,UAT-MH-2,UI-1SD,MÉXICO NUEVO,Mexico Nuevo,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.45337257,-99.20253365,4,10,5,750,893
2021,Agosto,06/08/2021,00:00:00,2021,Agosto,06/08/2021,13:04:00,ROBO A TRANSEUNTE A BORDO DE TAXI PÚBLICO Y PRIVADO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-4,UI-1SD,SAN MIGUEL CHAPULTEPEC,San Miguel Chapultepec Ii Seccion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.41203,-99.18243,5,1,5,784,825
2021,Julio,24/07/2021,00:00:00,2021,Julio,23/07/2021,19:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-1,UI-1SD,TACUBA,Tacuba,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.4594,-99.18826,5,5,5,1170,854
2022,Febrero,17/02/2022,00:00:00,2022,Febrero,17/02/2022,19:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-5,UI-1CD,DANIEL GARZA,Daniel Garza,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40721,-99.20036,4,4,5,1150,812
2021,Octubre,07/10/2021,00:00:00,2021,Octubre,06/10/2021,16:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,UAT-MH-1,UI-1SD,ANAHUAC,Anahuac I Seccion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.44673,-99.17764,3,10,5,960,893
2021,Abril,21/04/2021,00:00:00,2021,Abril,21/04/2021,15:05:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-5,UI-2CD,TACUBAYA,San Miguel Chapultepec I Seccion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40381,-99.18684,3,0,5,905,756
2021,Agosto,07/08/2021,00:00:00,2021,Agosto,07/08/2021,16:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-5,UI-2CD,LOS MANZANOS,Los Manzanos,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.44701,-99.18479,6,1,5,990,825
2021,Febrero,10/02/2021,00:00:00,2021,Febrero,08/02/2021,20:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-4,UI-1SD,TACUBAYA,Tacubaya,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.40146,-99.1865,1,4,5,1200,812
2020,Septiembre,30/09/2020,00:00:00,2020,Septiembre,30/09/2020,18:18:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE JUSTICIA PENAL PARA ADOLESCENTES,AEJPA,3 CON DETENIDO,IRRIGACIÓN,Irrigacion,MIGUEL HIDALGO,Miguel Hidalgo,CDMX,19.44064,-99.20879,3,11,5,1098,895
2021,Abril,30/04/2021,00:00:00,2021,Abril,29/04/2021,20:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-2CD,JUAN ESCUTIA,Juan Escutia,IZTAPALAPA,Iztapalapa,CDMX,19.39008,-99.04327,4,0,4,1230,1930
2023,Marzo,31/03/2023,15:57:36,2023,Marzo,31/03/2023,15:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-6,UI-3CD,SANTA MARTHA ACATITLA SUR,Santa Martha Acatitla Sur,IZTAPALAPA,Iztapalapa,CDMX,19.37144797,-99.02236627,5,7,4,915,2130
2021,Noviembre,21/11/2021,00:00:00,2021,Noviembre,20/11/2021,05:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,UAT-GAM-2,UI-1SD,SAN JUAN DE ARAGÓN VII SECCIÓN,San Juan De Aragon Vii Seccion,GUSTAVO A. MADERO,Gustavo A. Madero,CDMX,19.47075,-99.07686,6,9,3,330,1199
